"adverb, superlative",RBS,4
Start the mysite project in django.,django-admin startproject mysite,4
"Create HTTP Response ""Hello, world.""","HttpResponse(""Hello, world."")",4
Settings/configuration for this Django project.,mysite/settings.py,4
The URL declarations for this Django project; a “table of contents” of your Django-powered site,mysite/urls.py,4
"When Django finds a matching pattern, it calls the specified view function with an HttpRequest object as the first argument and any “captured” values from the route as keyword arguments.",view,4
create the tables in the database,python manage.py migrate,4
the act of submitting this form will alter data server-side,"method=""post""",4
indicates how many times the for tag has gone through its loop,forloop.counter,4
Import Choice.,from .models import Choice,4
"A unit of text that is the result of one of the shell expansions. After expansion, when executing a command, the resulting fields are used as the command name and arguments.",field,4
"A set of processes comprising a pipeline, and any processes descended from it, that are all in the same process group.",job,4
A mechanism by which users can selectively stop (suspend) and restart (resume) execution of processes.,job control,4
"A word consisting solely of letters, numbers, and underscores, and beginning with a letter or underscore. Names are used as shell variable and function names. Also referred to as an identifier.",name,4
A collection of related processes each having the same process group ID.,process group,4
A unique identifier that represents a process group during its lifetime.,process group ID,4
"A word that has a special meaning to the shell. Most reserved words introduce shell flow control constructs, such as for and while.",reserved word,4
A shell builtin command that has been classified as special by the POSIX standard.,special builtin,4
A sequence of characters considered a single unit by the shell. It is either a word or an operator.,token,4
A sequence of characters treated as a unit by the shell. Words may not include unquoted metacharacters.,word,4
"Bash escape character. It preserves the literal value of the next character that follows, with the exception of newline. If a \newline pair appears, and the backslash itself is not quoted, the \newline is treated as a line continuation (that is, it is removed from the input stream and effectively ignored).",\,4
preserves the literal value of each character within it,',4
" preserves the literal value of all characters within the quotes, with the exception of ‘$’, ‘`’, ‘\’, and, when history expansion is enabled, ‘!’. When the shell is in POSIX mode (see Bash POSIX Mode), the ‘!’ has no special meaning within double quotes, even when history expansion is enabled. The characters ‘$’ and ‘`’ retain their special meaning within double quotes (see Shell Expansions). The backslash retains its special meaning only when followed by one of the following characters: ‘$’, ‘`’, ‘""’, ‘\’, or newline. Within double quotes, backslashes that are followed by one of these characters are removed. Backslashes preceding characters without a special meaning are left unmodified. A double quote may be quoted within double quotes by preceding it with a backslash. If enabled, history expansion will be performed unless an ‘!’ appearing in double quotes is escaped using a backslash. The backslash preceding the ‘!’ is not removed.
The special parameters ‘*’ and ‘@’ have special meaning when in double quotes (see Shell Parameter Expansion).","""",4
backspace,\b,4
an escape character (not ANSI C),\E,4
form feed,\f,4
newline,\n,4
horizontal tab,\t,4
vertical tab,\v,4
backslash,\\,4
single quote,\',4
the Unicode (ISO/IEC 10646) character whose value is the hexadecimal value HHHH (one to four hex digits),\uHHHH,4
a sequence of one or more commands separated by one of the control operators ‘|’ or ‘|&’.,pipeline,4
" a sequence of one or more pipelines separated by one of the operators ‘;’, ‘&’, ‘&&’, or ‘||’, and optionally terminated by one of ‘;’, ‘&’, or a newline.",list,4
"Execute consequent-commands as long as test-commands has an exit status which is not zero. The return status is the exit status of the last command executed in consequent-commands, or zero if none was executed.",until test-commands; do consequent-commands; done,4
"Execute consequent-commands as long as test-commands has an exit status of zero. The return status is the exit status of the last command executed in consequent-commands, or zero if none was executed.",while test-commands; do consequent-commands; done,4
"Expand words (see Shell Expansions), and execute commands once for each member in the resultant list, with name bound to the current member. If ‘in words’ is not present, the for command executes the commands once for each positional parameter that is set, as if ‘in ""$@""’ had been specified (see Special Parameters).",for name [ [in [words ...] ] ; ] do commands; done,2
"will selectively execute the command-list corresponding to the first pattern that matches word. The match is performed according to the rules described below in Pattern Matching. If the nocasematch shell option (see the description of shopt in The Shopt Builtin) is enabled, the match is performed without regard to the case of alphabetic characters. The ‘|’ is used to separate multiple patterns, and the ‘)’ operator terminates a pattern list. A list of patterns and an associated command-list is known as a clause.
Each clause must be terminated with ‘;;’, ‘;&’, or ‘;;&’. The word undergoes tilde expansion, parameter expansion, command substitution, arithmetic expansion, and quote removal (see Shell Parameter Expansion) before matching is attempted. Each pattern undergoes tilde expansion, parameter expansion, command substitution, and arithmetic expansion.
There may be an arbitrary number of case clauses, each terminated by a ‘;;’, ‘;&’, or ‘;;&’. The first pattern that matches determines the command-list that is executed. It’s a common idiom to use ‘*’ as the final pattern to define the default case, since that pattern will always match.",case word in [ [(] pattern [| pattern]...) command-list ;;] esac,2
Import TensorFlow.,import tensorflow as tf,4
Assign the MNIST dataset to the variable mnist.,mnist = tf.keras.datasets.mnist,4
Load the MNIST dataset.,"(x_train, y_train), (x_test, y_test) = mnist.load_data()",2
Convert the MNIST samples from integers to floating-point numbers,"x_train, x_test = x_train / 255.0, x_test / 255.0",3
Build the Sequential model with a list of layers.,model = tf.keras.models.Sequential([]),4
A Dropout layer of 0.2.,tf.keras.layers.Dropout(0.2),4
A Dense layer with 10 neurons and softmax activation.,"tf.keras.layers.Dense(10, activation='softmax')",3
"Compile model with Adam optimiser, sparce categorical entropy as the loss function and accuracy as metric.","model.compile(optimizer='adam', loss='sparse_categorical_crossentropy', metrics=['accuracy'])",4
Train model with 5 epochs.,"model.fit(x_train, y_train, epochs=5)",3
Import PyPlot.,import matplotlib.pyplot as plt,4
Print the version of TensorFlow.,print(tf.__version__),4
Assign the Fashion MNIST dataset to variable fashion_mnist.,fashion_mnist = keras.datasets.fashion_mnist,3
